Purchase Budget,House Age,Number of Bedrooms (BHK),Area's Resident Population,City,Furnishing Status,Price
2035108,0,1.0,48688,Durgapur,Fully furnished,2270214
1802101,0,1.0,93361,Durgapur,Semi-furnished,2201847
1611268,0,1.0,28063,Durgapur,Unfurnished,1507392
2034466,1,1.0,72130,Durgapur,Fully furnished,2400353
1955677,1,1.0,31000,Durgapur,Semi-furnished,1940542
2405539,1,1.0,17229,Durgapur,Unfurnished,2067805
2178414,2,1.0,52436,Durgapur,Fully furnished,2387347
1651777,2,1.0,74662,Durgapur,Semi-furnished,1949394
2481564,2,1.0,83580,Durgapur,Unfurnished,2516731
1902192,3,1.0,35861,Durgapur,Fully furnished,2056920
1764839,3,1.0,51572,Durgapur,Semi-furnished,1891303
1700200,3,1.0,26012,Durgapur,Unfurnished,1536232
1815343,4,1.0,65227,Durgapur,Fully furnished,2153636
1699327,4,1.0,73401,Durgapur,Semi-furnished,1959868
1713095,4,1.0,311,Durgapur,Unfurnished,1382342
1707391,5,1.0,6935,Durgapur,Fully furnished,1707523
1995495,5,1.0,21926,Durgapur,Semi-furnished,1877952
1973289,5,1.0,25195,Durgapur,Unfurnished,1729801
1950500,6,1.0,39412,Durgapur,Fully furnished,2086872
1756781,6,1.0,39121,Durgapur,Semi-furnished,1780151
2003893,6,1.0,2598,Durgapur,Unfurnished,1608702
2310521,7,1.0,72034,Durgapur,Fully furnished,2560621
2248496,7,1.0,30285,Durgapur,Semi-furnished,2110507
2281829,7,1.0,33856,Durgapur,Unfurnished,2008599
1932795,8,1.0,58755,Durgapur,Fully furnished,2168766
2458661,8,1.0,87229,Durgapur,Semi-furnished,2610303
2155025,8,1.0,83419,Durgapur,Unfurnished,2194534
2225879,9,1.0,13682,Durgapur,Fully furnished,2122795
1664030,9,1.0,59556,Durgapur,Semi-furnished,1798560
1606871,9,1.0,53387,Durgapur,Unfurnished,1565819
2399098,0,1.5,93390,Durgapur,Fully furnished,2854618
2399292,0,1.5,1858,Durgapur,Semi-furnished,2155582
3099436,0,1.5,3974,Durgapur,Unfurnished,2578393
2974915,1,1.5,8508,Durgapur,Fully furnished,2795980
3108135,1,1.5,42041,Durgapur,Semi-furnished,2953754
2257178,1,1.5,76553,Durgapur,Unfurnished,2330060
2937494,2,1.5,34954,Durgapur,Fully furnished,2914719
2291047,2,1.5,62566,Durgapur,Semi-furnished,2413234
2721027,2,1.5,59127,Durgapur,Unfurnished,2586584
2403285,3,1.5,78634,Durgapur,Fully furnished,2739432
2249952,3,1.5,89905,Durgapur,Semi-furnished,2534392
2995897,3,1.5,53549,Durgapur,Unfurnished,2763012
3145970,4,1.5,32850,Durgapur,Fully furnished,3048876
3042487,4,1.5,28362,Durgapur,Semi-furnished,2789162
2516094,4,1.5,34017,Durgapur,Unfurnished,2251977
2636305,5,1.5,40523,Durgapur,Fully furnished,2677182
2321598,5,1.5,81303,Durgapur,Semi-furnished,2520096
2960529,5,1.5,39168,Durgapur,Unfurnished,2628431
3173797,6,1.5,21673,Durgapur,Fully furnished,2984076
2780463,6,1.5,19002,Durgapur,Semi-furnished,2503382
2623507,6,1.5,24107,Durgapur,Unfurnished,2258448
2832557,7,1.5,76286,Durgapur,Fully furnished,3028762
2722445,7,1.5,84320,Durgapur,Semi-furnished,2838876
3044611,7,1.5,27157,Durgapur,Unfurnished,2603631
2888524,8,1.5,50534,Durgapur,Fully furnished,2909023
3191835,8,1.5,67266,Durgapur,Semi-furnished,3102064
2615211,8,1.5,59536,Durgapur,Unfurnished,2444385
2584690,9,1.5,18855,Durgapur,Fully furnished,2465882
3112486,9,1.5,46455,Durgapur,Semi-furnished,2903719
2201292,9,1.5,64341,Durgapur,Unfurnished,2132080
3359242,0,2.0,60853,Durgapur,Fully furnished,3452512
3797486,0,2.0,69788,Durgapur,Semi-furnished,3706717
3159085,0,2.0,86022,Durgapur,Unfurnished,3143400
3226686,1,2.0,99227,Durgapur,Fully furnished,3566711
2987188,1,2.0,42185,Durgapur,Semi-furnished,2882860
2897986,1,2.0,88129,Durgapur,Unfurnished,2937163
2996095,2,2.0,71191,Durgapur,Fully furnished,3204022
2914294,2,2.0,27540,Durgapur,Semi-furnished,2726675
3373035,2,2.0,52672,Durgapur,Unfurnished,3094460
3297559,3,2.0,28758,Durgapur,Fully furnished,3180595
3358909,3,2.0,7765,Durgapur,Semi-furnished,2953717
2802129,3,2.0,22292,Durgapur,Unfurnished,2445455
2910906,4,2.0,16629,Durgapur,Fully furnished,2788499
3464871,4,2.0,96520,Durgapur,Semi-furnished,3561017
3726583,4,2.0,56682,Durgapur,Unfurnished,3381358
3120010,5,2.0,34486,Durgapur,Fully furnished,3052924
3410933,5,2.0,21941,Durgapur,Semi-furnished,3060392
3276228,5,2.0,17010,Durgapur,Unfurnished,2773042
3532143,6,2.0,81188,Durgapur,Fully furnished,3652842
3546050,6,2.0,64050,Durgapur,Semi-furnished,3411140
3362317,6,2.0,61804,Durgapur,Unfurnished,3100678
3228476,7,2.0,46330,Durgapur,Fully furnished,3190761
3657269,7,2.0,58746,Durgapur,Semi-furnished,3458291
3257382,7,2.0,35603,Durgapur,Unfurnished,2849524
3037160,8,2.0,52168,Durgapur,Fully furnished,3062736
3066475,8,2.0,68392,Durgapur,Semi-furnished,3033532
3225678,8,2.0,42302,Durgapur,Unfurnished,2854354
3331916,9,2.0,6560,Durgapur,Fully furnished,3014893
2904119,9,2.0,90542,Durgapur,Semi-furnished,3026547
3388293,9,2.0,49189,Durgapur,Unfurnished,3015768
4255781,0,2.5,70884,Durgapur,Fully furnished,4254929
3654682,0,2.5,60590,Durgapur,Semi-furnished,3562286
3550535,0,2.5,30472,Durgapur,Unfurnished,3148260
4268010,1,2.5,82314,Durgapur,Fully furnished,4323292
4297612,1,2.5,23902,Durgapur,Semi-furnished,3846502
4272505,1,2.5,99929,Durgapur,Unfurnished,4132578
4152699,2,2.5,98967,Durgapur,Fully furnished,4320961
4240836,2,2.5,32087,Durgapur,Semi-furnished,3840191
3565559,2,2.5,55603,Durgapur,Unfurnished,3291065
3515338,3,2.5,90708,Durgapur,Fully furnished,3751518
4183259,3,2.5,82506,Durgapur,Semi-furnished,4086643
3801112,3,2.5,87198,Durgapur,Unfurnished,3659078
3468805,4,2.5,99595,Durgapur,Fully furnished,3757614
4079197,4,2.5,32685,Durgapur,Semi-furnished,3694468
3611411,4,2.5,45208,Durgapur,Unfurnished,3245377
3517646,5,2.5,30108,Durgapur,Fully furnished,3369765
4240864,5,2.5,89946,Durgapur,Semi-furnished,4157367
3576200,5,2.5,56910,Durgapur,Unfurnished,3277420
4193667,6,2.5,87271,Durgapur,Fully furnished,4243560
4117270,6,2.5,52101,Durgapur,Semi-furnished,3821422
4288777,6,2.5,72523,Durgapur,Unfurnished,3931160
4019423,7,2.5,79267,Durgapur,Fully furnished,4046140
4205515,7,2.5,15124,Durgapur,Semi-furnished,3660156
4091950,7,2.5,92705,Durgapur,Unfurnished,3884790
4200906,8,2.5,34704,Durgapur,Fully furnished,3913949
3502691,8,2.5,74958,Durgapur,Semi-furnished,3446901
4228158,8,2.5,59640,Durgapur,Unfurnished,3785366
3822789,9,2.5,33338,Durgapur,Fully furnished,3593259
3783562,9,2.5,27887,Durgapur,Semi-furnished,3379172
3628228,9,2.5,6444,Durgapur,Unfurnished,2976246
4210089,0,3.0,80020,Durgapur,Fully furnished,4298191
4785908,0,3.0,48085,Durgapur,Semi-furnished,4417236
4357594,0,3.0,65171,Durgapur,Unfurnished,4027101
4984746,1,3.0,1867,Durgapur,Fully furnished,4438999
4258732,1,3.0,33256,Durgapur,Semi-furnished,3896522
4403098,1,3.0,94778,Durgapur,Unfurnished,4231146
4282519,2,3.0,22371,Durgapur,Fully furnished,3990241
4223612,2,3.0,95288,Durgapur,Semi-furnished,4230618
4267486,2,3.0,57700,Durgapur,Unfurnished,3890189
4317438,3,3.0,64705,Durgapur,Fully furnished,4262180
4906542,3,3.0,42941,Durgapur,Semi-furnished,4452880
4502067,3,3.0,90523,Durgapur,Unfurnished,4264792
4832512,4,3.0,28658,Durgapur,Fully furnished,4447958
4936843,4,3.0,3665,Durgapur,Semi-furnished,4231464
4271242,4,3.0,71848,Durgapur,Unfurnished,3958082
4503261,5,3.0,60922,Durgapur,Fully furnished,4368141
4747265,5,3.0,55924,Durgapur,Semi-furnished,4383356
4365339,5,3.0,11925,Durgapur,Unfurnished,3663821
4508578,6,3.0,28853,Durgapur,Fully furnished,4169980
4217360,6,3.0,9727,Durgapur,Semi-furnished,3672250
4643849,6,3.0,15222,Durgapur,Unfurnished,3896411
4347404,7,3.0,58844,Durgapur,Fully furnished,4210987
4596969,7,3.0,21780,Durgapur,Semi-furnished,4038255
4691397,7,3.0,62827,Durgapur,Unfurnished,4210080
4408729,8,3.0,45589,Durgapur,Fully furnished,4170517
4954365,8,3.0,41801,Durgapur,Semi-furnished,4434298
4652438,8,3.0,17829,Durgapur,Unfurnished,3898924
4547196,9,3.0,21650,Durgapur,Fully furnished,4127657
4067110,9,3.0,3065,Durgapur,Semi-furnished,3482078
4455495,9,3.0,75027,Durgapur,Unfurnished,4074558
4782614,0,3.5,36967,Durgapur,Fully furnished,4522893
5266697,0,3.5,14109,Durgapur,Semi-furnished,4623012
4999432,0,3.5,55572,Durgapur,Unfurnished,4507978
5588432,1,3.5,40681,Durgapur,Fully furnished,5179832
4868438,1,3.5,59918,Durgapur,Semi-furnished,4569258
4912551,1,3.5,51908,Durgapur,Unfurnished,4406489
5274778,2,3.5,76361,Durgapur,Fully furnished,5132988
5150206,2,3.5,84741,Durgapur,Semi-furnished,4933611
4976246,2,3.5,90792,Durgapur,Unfurnished,4680749
5277259,3,3.5,48479,Durgapur,Fully furnished,4957681
4743333,3,3.5,76935,Durgapur,Semi-furnished,4551276
5277750,3,3.5,25634,Durgapur,Unfurnished,4521004
5304570,4,3.5,13296,Durgapur,Fully furnished,4758432
5455728,4,3.5,83824,Durgapur,Semi-furnished,5152526
5592362,4,3.5,20350,Durgapur,Unfurnished,4730990
5264632,5,3.5,43682,Durgapur,Fully furnished,4898798
4768658,5,3.5,20712,Durgapur,Semi-furnished,4214198
4885078,5,3.5,78900,Durgapur,Unfurnished,4506462
4911705,6,3.5,45969,Durgapur,Fully furnished,4620178
5411991,6,3.5,23882,Durgapur,Semi-furnished,4737885
5262809,6,3.5,89098,Durgapur,Unfurnished,4859835
5347395,7,3.5,28497,Durgapur,Fully furnished,4853898
5009235,7,3.5,11356,Durgapur,Semi-furnished,4330524
5250955,7,3.5,93745,Durgapur,Unfurnished,4868234
4752266,8,3.5,57423,Durgapur,Fully furnished,4541351
4636978,8,3.5,50126,Durgapur,Semi-furnished,4255338
4987158,8,3.5,23430,Durgapur,Unfurnished,4225306
4925833,9,3.5,64898,Durgapur,Fully furnished,4715054
5176833,9,3.5,70019,Durgapur,Semi-furnished,4796580
5527301,9,3.5,79751,Durgapur,Unfurnished,4985347
6059756,0,4.0,32889,Durgapur,Fully furnished,5545139
5734098,0,4.0,67370,Durgapur,Semi-furnished,5341498
6072548,0,4.0,71589,Durgapur,Unfurnished,5487572
5581474,1,4.0,81838,Durgapur,Fully furnished,5446207
5720896,1,4.0,8713,Durgapur,Semi-furnished,4968995
5820166,1,4.0,17992,Durgapur,Unfurnished,4954085
6110533,2,4.0,2104,Durgapur,Fully furnished,5381050
5802102,2,4.0,54777,Durgapur,Semi-furnished,5300344
5794753,2,4.0,24030,Durgapur,Unfurnished,4959982
5579367,3,4.0,96776,Durgapur,Fully furnished,5514150
5272490,3,4.0,59782,Durgapur,Semi-furnished,4896684
5936046,3,4.0,90163,Durgapur,Unfurnished,5459815
5660174,4,4.0,42909,Durgapur,Fully furnished,5245593
5901241,4,4.0,86869,Durgapur,Semi-furnished,5552207
5901959,4,4.0,83893,Durgapur,Unfurnished,5384925
5518605,5,4.0,99256,Durgapur,Fully furnished,5460420
5686996,5,4.0,32588,Durgapur,Semi-furnished,5045125
5808400,5,4.0,93694,Durgapur,Unfurnished,5358884
6047660,6,4.0,23395,Durgapur,Fully furnished,5418498
5562652,6,4.0,9470,Durgapur,Semi-furnished,4796942
5762017,6,4.0,27671,Durgapur,Unfurnished,4915640
5653121,7,4.0,54641,Durgapur,Fully furnished,5280343
6069807,7,4.0,14401,Durgapur,Semi-furnished,5222252
6052897,7,4.0,23081,Durgapur,Unfurnished,5110804
5320766,8,4.0,20591,Durgapur,Fully furnished,4800159
5923342,8,4.0,67152,Durgapur,Semi-furnished,5411586
6174630,8,4.0,8632,Durgapur,Unfurnished,5111496
5618866,9,4.0,66280,Durgapur,Fully furnished,5302773
5790228,9,4.0,41933,Durgapur,Semi-furnished,5143780
5778467,9,4.0,21737,Durgapur,Unfurnished,4863196
6411651,0,4.5,54823,Durgapur,Fully furnished,5983259
6247299,0,4.5,32553,Durgapur,Semi-furnished,5568157
6188441,0,4.5,68857,Durgapur,Unfurnished,5588895
5916581,1,4.5,95859,Durgapur,Fully furnished,5823419
6180349,1,4.5,5022,Durgapur,Semi-furnished,5339411
6175127,1,4.5,68061,Durgapur,Unfurnished,5563468
6047922,2,4.5,68795,Durgapur,Fully furnished,5756108
5852076,2,4.5,61447,Durgapur,Semi-furnished,5405343
6782563,2,4.5,15996,Durgapur,Unfurnished,5727026
6236286,3,4.5,61128,Durgapur,Fully furnished,5850797
6259782,3,4.5,86943,Durgapur,Semi-furnished,5874484
6249949,3,4.5,48932,Durgapur,Unfurnished,5488551
6464873,4,4.5,92962,Durgapur,Fully furnished,6214670
5857149,4,4.5,29325,Durgapur,Semi-furnished,5196669
6260155,4,4.5,24325,Durgapur,Unfurnished,5339074
6699159,5,4.5,32048,Durgapur,Fully furnished,6026615
6083768,5,4.5,48417,Durgapur,Semi-furnished,5482516
6040208,5,4.5,21562,Durgapur,Unfurnished,5136538
6716422,6,4.5,31107,Durgapur,Fully furnished,6024780
6236269,6,4.5,43977,Durgapur,Semi-furnished,5567877
6591983,6,4.5,29743,Durgapur,Unfurnished,5617044
6303268,7,4.5,63371,Durgapur,Fully furnished,5877840
6451890,7,4.5,26978,Durgapur,Semi-furnished,5628380
5941408,7,4.5,61041,Durgapur,Unfurnished,5274372
6515404,8,4.5,67473,Durgapur,Fully furnished,6062161
6731058,8,4.5,4259,Durgapur,Semi-furnished,5705400
6412227,8,4.5,49588,Durgapur,Unfurnished,5572310
6231180,9,4.5,92430,Durgapur,Fully furnished,5974524
6379598,9,4.5,74172,Durgapur,Semi-furnished,5833710
6230559,9,4.5,15563,Durgapur,Unfurnished,5212825
6928815,0,5.0,75664,Durgapur,Fully furnished,6547036
7526234,0,5.0,58936,Durgapur,Semi-furnished,6774603
7366844,0,5.0,18426,Durgapur,Unfurnished,6254031
7445836,1,5.0,65576,Durgapur,Fully furnished,6890125
7759856,1,5.0,57724,Durgapur,Semi-furnished,6944229
7006380,1,5.0,78101,Durgapur,Unfurnished,6313710
7239050,2,5.0,79806,Durgapur,Fully furnished,6800076
7536078,2,5.0,46360,Durgapur,Semi-furnished,6687022
7026056,2,5.0,17268,Durgapur,Unfurnished,5954453
7213748,3,5.0,64680,Durgapur,Fully furnished,6679078
6930084,3,5.0,51514,Durgapur,Semi-furnished,6223151
7102365,3,5.0,34598,Durgapur,Unfurnished,6109480
7650804,4,5.0,98668,Durgapur,Fully furnished,7222651
6948069,4,5.0,27037,Durgapur,Semi-furnished,6080677
6901457,4,5.0,39985,Durgapur,Unfurnished,5971076
7667956,5,5.0,84602,Durgapur,Fully furnished,7141977
7244778,5,5.0,75436,Durgapur,Semi-furnished,6598438
7613023,5,5.0,93795,Durgapur,Unfurnished,6853188
7077802,6,5.0,83792,Durgapur,Fully furnished,6654994
7257894,6,5.0,18948,Durgapur,Semi-furnished,6260003
7257409,6,5.0,40773,Durgapur,Unfurnished,6240565
7480685,7,5.0,42446,Durgapur,Fully furnished,6719224
7603318,7,5.0,7062,Durgapur,Semi-furnished,6455026
7703212,7,5.0,46863,Durgapur,Unfurnished,6623748
7687911,8,5.0,22782,Durgapur,Fully furnished,6757021
6924062,8,5.0,53838,Durgapur,Semi-furnished,6182278
7769509,8,5.0,72012,Durgapur,Unfurnished,6817679
6905440,9,5.0,6974,Durgapur,Fully furnished,6026196
7126788,9,5.0,10368,Durgapur,Semi-furnished,6073638
7643224,9,5.0,58371,Durgapur,Unfurnished,6624805
2169827,0,1.0,92742,Navi Mumbai,Fully furnished,2642314
2384651,0,1.0,78728,Navi Mumbai,Semi-furnished,2580089
2134146,0,1.0,3085,Navi Mumbai,Unfurnished,1775827
2158634,1,1.0,2049,Navi Mumbai,Fully furnished,2079201
1695000,1,1.0,3317,Navi Mumbai,Semi-furnished,1565902
1683402,1,1.0,14816,Navi Mumbai,Unfurnished,1475618
2331969,2,1.0,87404,Navi Mumbai,Fully furnished,2719999
2323016,2,1.0,32886,Navi Mumbai,Semi-furnished,2235729
1912095,2,1.0,55523,Navi Mumbai,Unfurnished,1892814
1980865,3,1.0,57379,Navi Mumbai,Fully furnished,2248966
1658450,3,1.0,47634,Navi Mumbai,Semi-furnished,1782564
1819530,3,1.0,93191,Navi Mumbai,Unfurnished,2034770
2127803,4,1.0,85675,Navi Mumbai,Fully furnished,2526292
2442898,4,1.0,67987,Navi Mumbai,Semi-furnished,2522240
1512121,4,1.0,84562,Navi Mumbai,Unfurnished,1727069
2387081,5,1.0,11352,Navi Mumbai,Fully furnished,2277777
1826769,5,1.0,1918,Navi Mumbai,Semi-furnished,1622923
2146490,5,1.0,77394,Navi Mumbai,Unfurnished,2181556
1618744,6,1.0,72497,Navi Mumbai,Fully furnished,2019977
2219711,6,1.0,34287,Navi Mumbai,Semi-furnished,2121491
1813794,6,1.0,90911,Navi Mumbai,Unfurnished,1986501
2019793,7,1.0,18738,Navi Mumbai,Fully furnished,2008262
2363794,7,1.0,48807,Navi Mumbai,Semi-furnished,2313877
1518817,7,1.0,8793,Navi Mumbai,Unfurnished,1247812
2149485,8,1.0,67021,Navi Mumbai,Fully furnished,2391714
2412805,8,1.0,23396,Navi Mumbai,Semi-furnished,2190620
1598958,8,1.0,85656,Navi Mumbai,Unfurnished,1763102
1605081,9,1.0,65181,Navi Mumbai,Fully furnished,1935151
2160140,9,1.0,29536,Navi Mumbai,Semi-furnished,2015328
1611732,9,1.0,26917,Navi Mumbai,Unfurnished,1410888
2897899,0,1.5,70825,Navi Mumbai,Fully furnished,3118269
2490168,0,1.5,7932,Navi Mumbai,Semi-furnished,2264726
3127047,0,1.5,62171,Navi Mumbai,Unfurnished,2949664
2634895,1,1.5,18935,Navi Mumbai,Fully furnished,2586526
2899446,1,1.5,17012,Navi Mumbai,Semi-furnished,2636629
2762946,1,1.5,28789,Navi Mumbai,Unfurnished,2448091
2430406,2,1.5,7898,Navi Mumbai,Fully furnished,2346713
2348673,2,1.5,38306,Navi Mumbai,Semi-furnished,2313774
3022194,2,1.5,33204,Navi Mumbai,Unfurnished,2671979
2324695,3,1.5,21643,Navi Mumbai,Fully furnished,2334614
2356879,3,1.5,73844,Navi Mumbai,Semi-furnished,2523567
3176264,3,1.5,24233,Navi Mumbai,Unfurnished,2731409
2944691,4,1.5,37054,Navi Mumbai,Fully furnished,2913077
2374112,4,1.5,85919,Navi Mumbai,Semi-furnished,2599804
2429385,4,1.5,43070,Navi Mumbai,Unfurnished,2236928
2625990,5,1.5,92941,Navi Mumbai,Fully furnished,2983438
2860269,5,1.5,2452,Navi Mumbai,Semi-furnished,2477927
3179202,5,1.5,99890,Navi Mumbai,Unfurnished,3167702
2790284,6,1.5,42637,Navi Mumbai,Fully furnished,2803049
2575575,6,1.5,42056,Navi Mumbai,Semi-furnished,2477796
2929192,6,1.5,87121,Navi Mumbai,Unfurnished,2881080
2828626,7,1.5,91737,Navi Mumbai,Fully furnished,3118323
2389136,7,1.5,3312,Navi Mumbai,Semi-furnished,2086181
2950139,7,1.5,95574,Navi Mumbai,Unfurnished,2938555
2236606,8,1.5,76716,Navi Mumbai,Fully furnished,2544581
2450426,8,1.5,48158,Navi Mumbai,Semi-furnished,2394289
2331453,8,1.5,91596,Navi Mumbai,Unfurnished,2409738
2716200,9,1.5,47915,Navi Mumbai,Fully furnished,2745450
2843331,9,1.5,87570,Navi Mumbai,Semi-furnished,2935085
2589569,9,1.5,35333,Navi Mumbai,Unfurnished,2268653
3655136,0,2.0,55762,Navi Mumbai,Fully furnished,3658681
3658562,0,2.0,28731,Navi Mumbai,Semi-furnished,3349236
3184856,0,2.0,53255,Navi Mumbai,Unfurnished,2967415
2997289,1,2.0,56525,Navi Mumbai,Fully furnished,3126981
3151873,1,2.0,85006,Navi Mumbai,Semi-furnished,3271534
3259903,1,2.0,68861,Navi Mumbai,Unfurnished,3111088
3131768,2,2.0,62538,Navi Mumbai,Fully furnished,3260642
2983852,2,2.0,95333,Navi Mumbai,Semi-furnished,3189080
2981714,2,2.0,8769,Navi Mumbai,Unfurnished,2517985
3018152,3,2.0,3863,Navi Mumbai,Fully furnished,2807700
3387677,3,2.0,11096,Navi Mumbai,Semi-furnished,2996718
3102677,3,2.0,30229,Navi Mumbai,Unfurnished,2733516
3192526,4,2.0,33210,Navi Mumbai,Fully furnished,3113281
