Purchase Budget,House Age,Number of Bedrooms (BHK),Area's Resident Population,City,Furnishing Status,Price
2035108,0,1,48688,Durgapur,Fully furnished,2353796
1802101,0,1,93361,Durgapur,Semi-furnished,2094991
1611268,0,1,28063,Durgapur,Unfurnished,1626302
2034466,1,1,72130,Durgapur,Fully furnished,2381880
1955677,1,1,31000,Durgapur,Semi-furnished,2051515
2405539,1,1,17229,Durgapur,Unfurnished,2183113
2178414,2,1,52436,Durgapur,Fully furnished,2422954
1651777,2,1,74662,Durgapur,Semi-furnished,1891607
2481564,2,1,83580,Durgapur,Unfurnished,2361865
1902192,3,1,35861,Durgapur,Fully furnished,2149560
1764839,3,1,51572,Durgapur,Semi-furnished,1899736
1700200,3,1,26012,Durgapur,Unfurnished,1614378
1815343,4,1,65227,Durgapur,Fully furnished,2119160
1699327,4,1,73401,Durgapur,Semi-furnished,1868971
1713095,4,1,311,Durgapur,Unfurnished,1538636
1707391,5,1,6935,Durgapur,Fully furnished,1877874
1995495,5,1,21926,Durgapur,Semi-furnished,1949813
1973289,5,1,25195,Durgapur,Unfurnished,1760129
1950500,6,1,39412,Durgapur,Fully furnished,2101086
1756781,6,1,39121,Durgapur,Semi-furnished,1773220
2003893,6,1,2598,Durgapur,Unfurnished,1700674
2310521,7,1,72034,Durgapur,Fully furnished,2411471
2248496,7,1,30285,Durgapur,Semi-furnished,2092484
2281829,7,1,33856,Durgapur,Unfurnished,1945673
1932795,8,1,58755,Durgapur,Fully furnished,2058185
2458661,8,1,87229,Durgapur,Semi-furnished,2340486
2155025,8,1,83419,Durgapur,Unfurnished,1921341
2225879,9,1,13682,Durgapur,Fully furnished,2142768
1664030,9,1,59556,Durgapur,Semi-furnished,1636686
1606871,9,1,53387,Durgapur,Unfurnished,1399673
2035108,10,1,48688,Durgapur,Fully furnished,2033796
1802101,10,1,93361,Durgapur,Semi-furnished,1774991
1611268,10,1,28063,Durgapur,Unfurnished,1306302
2034466,11,1,72130,Durgapur,Fully furnished,2041880
1955677,11,1,31000,Durgapur,Semi-furnished,1711515
2405539,11,1,17229,Durgapur,Unfurnished,1843113
2178414,12,1,52436,Durgapur,Fully furnished,2062954
1651777,12,1,74662,Durgapur,Semi-furnished,1531607
2481564,12,1,83580,Durgapur,Unfurnished,2001865
1902192,13,1,35861,Durgapur,Fully furnished,1769560
1764839,13,1,51572,Durgapur,Semi-furnished,1519736
1700200,13,1,26012,Durgapur,Unfurnished,1234378
1815343,14,1,65227,Durgapur,Fully furnished,1719160
1699327,14,1,73401,Durgapur,Semi-furnished,1468971
1713095,14,1,311,Durgapur,Unfurnished,1138636
1707391,15,1,6935,Durgapur,Fully furnished,1457874
1995495,15,1,21926,Durgapur,Semi-furnished,1529813
1973289,15,1,25195,Durgapur,Unfurnished,1340129
2399098,0,1.5,93390,Durgapur,Fully furnished,2851272
2399292,0,1.5,1858,Durgapur,Semi-furnished,2470050
3099436,0,1.5,3974,Durgapur,Unfurnished,2826814
2974915,1,1.5,8508,Durgapur,Fully furnished,3079153
3108135,1,1.5,42041,Durgapur,Semi-furnished,3074173
2257178,1,1.5,76553,Durgapur,Unfurnished,2323372
2937494,2,1.5,34954,Durgapur,Fully furnished,3083894
2291047,2,1.5,62566,Durgapur,Semi-furnished,2473341
2721027,2,1.5,59127,Durgapur,Unfurnished,2612560
2403285,3,1.5,78634,Durgapur,Fully furnished,2746991
2249952,3,1.5,89905,Durgapur,Semi-furnished,2475255
2995897,3,1.5,53549,Durgapur,Unfurnished,2782190
3145970,4,1.5,32850,Durgapur,Fully furnished,3181707
3042487,4,1.5,28362,Durgapur,Semi-furnished,2913187
2516094,4,1.5,34017,Durgapur,Unfurnished,2345569
2636305,5,1.5,40523,Durgapur,Fully furnished,2780242
2321598,5,1.5,81303,Durgapur,Semi-furnished,2450781
2960529,5,1.5,39168,Durgapur,Unfurnished,2663672
3173797,6,1.5,21673,Durgapur,Fully furnished,3114266
2780463,6,1.5,19002,Durgapur,Semi-furnished,2629456
2623507,6,1.5,24107,Durgapur,Unfurnished,2341401
2832557,7,1.5,76286,Durgapur,Fully furnished,2940073
2722445,7,1.5,84320,Durgapur,Semi-furnished,2694062
3044611,7,1.5,27157,Durgapur,Unfurnished,2633150
2888524,8,1.5,50534,Durgapur,Fully furnished,2888953
3191835,8,1.5,67266,Durgapur,Semi-furnished,2976280
2615211,8,1.5,59536,Durgapur,Unfurnished,2341040
2584690,9,1.5,18855,Durgapur,Fully furnished,2549345
3112486,9,1.5,46455,Durgapur,Semi-furnished,2831190
2201292,9,1.5,64341,Durgapur,Unfurnished,1998032
2399098,10,1.5,93390,Durgapur,Fully furnished,2531272
2399292,10,1.5,1858,Durgapur,Semi-furnished,2150050
3099436,10,1.5,3974,Durgapur,Unfurnished,2506814
2974915,11,1.5,8508,Durgapur,Fully furnished,2739153
3108135,11,1.5,42041,Durgapur,Semi-furnished,2734173
2257178,11,1.5,76553,Durgapur,Unfurnished,1983372
2937494,12,1.5,34954,Durgapur,Fully furnished,2723894
2291047,12,1.5,62566,Durgapur,Semi-furnished,2113341
2721027,12,1.5,59127,Durgapur,Unfurnished,2252560
